,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2018-03-31,0.7096774193548387,0.72,0.782608695652174,0.7654320987654321,0.7941176470588235,0.819672131147541,0.7878787878787878,0.9130434782608695,0.6666666666666666,0.6071428571428571
2017-12-31,0.75,0.8,0.7681159420289855,0.7073170731707317,0.696969696969697,0.8360655737704918,0.7910447761194029,0.8656716417910447,0.3333333333333333,0.7142857142857143
2017-09-30,0.71875,0.72,0.75,0.6951219512195121,0.7647058823529411,0.7258064516129032,0.7611940298507462,0.8970588235294118,0.5,0.5
2017-06-30,0.5882352941176471,0.56,0.696969696969697,0.6666666666666666,0.6388888888888888,0.819672131147541,0.7424242424242424,0.8529411764705882,0.5,0.7142857142857143
2017-03-31,0.6,0.76,0.7647058823529411,0.7228915662650602,0.5675675675675675,0.85,0.8307692307692308,0.8656716417910447,0.0,0.75
2016-12-31,0.5277777777777778,0.6,0.6029411764705882,0.7261904761904762,0.5675675675675675,0.7627118644067796,0.7936507936507936,0.835820895522388,0.2,0.35714285714285715
2016-09-30,0.7027027027027027,0.5769230769230769,0.7014925373134329,0.6265060240963856,0.7142857142857143,0.6949152542372882,0.84375,0.8787878787878788,0.4,0.75
2016-06-30,0.6756756756756757,0.5769230769230769,0.7058823529411765,0.7108433734939759,0.7222222222222222,0.8392857142857143,0.5543478260869565,0.8656716417910447,0.8,0.5925925925925926
2016-03-31,0.6052631578947368,0.7777777777777778,0.7538461538461538,0.7951807228915663,0.8648648648648649,0.8793103448275862,0.5555555555555556,0.7611940298507462,0.8,0.4827586206896552
2015-12-31,0.7,0.7037037037037037,0.6461538461538462,0.7023809523809523,0.6578947368421053,0.7142857142857143,0.6511627906976745,0.803030303030303,0.6,0.5517241379310345
2015-09-30,0.775,0.6785714285714286,0.7121212121212122,0.6309523809523809,0.7027027027027027,0.8545454545454545,0.5402298850574713,0.7352941176470589,0.8,0.5172413793103449
2015-06-30,0.6341463414634146,0.5714285714285714,0.71875,0.7142857142857143,0.6944444444444444,0.8909090909090909,0.6477272727272727,0.7272727272727273,0.6,0.5517241379310345
2015-03-31,0.6585365853658537,0.5517241379310345,0.6307692307692307,0.6746987951807228,0.7297297297297297,0.7818181818181819,0.627906976744186,0.7121212121212122,0.8333333333333334,0.7
2014-12-31,0.6511627906976745,0.7931034482758621,0.71875,0.6904761904761905,0.65,0.7090909090909091,0.6,0.84375,0.3333333333333333,0.5333333333333333
2014-09-30,0.7209302325581395,0.6666666666666666,0.84375,0.7108433734939759,0.75,0.7818181818181819,0.7261904761904762,0.8307692307692308,0.4,0.4666666666666667
2014-06-30,0.5555555555555556,0.7,0.625,0.6547619047619048,0.475,0.8301886792452831,0.7108433734939759,0.7230769230769231,0.2,0.5666666666666667
2014-03-31,0.7954545454545454,0.5806451612903226,0.671875,0.6547619047619048,0.5641025641025641,0.6481481481481481,0.6341463414634146,0.7575757575757576,0.4,0.7666666666666667
2013-12-31,0.5681818181818182,0.6774193548387096,0.578125,0.6024096385542169,0.55,0.6296296296296297,0.691358024691358,0.7538461538461538,0.6666666666666666,0.6774193548387096
2013-09-30,0.6511627906976745,0.6451612903225806,0.6190476190476191,0.6867469879518072,0.6,0.7454545454545455,0.5925925925925926,0.8333333333333334,0.3333333333333333,0.5161290322580645
2013-06-30,0.6046511627906976,0.5666666666666667,0.639344262295082,0.6385542168674698,0.625,0.7407407407407407,0.7037037037037037,0.7285714285714285,0.2857142857142857,0.5483870967741935
2013-03-31,0.7209302325581395,0.5,0.5573770491803278,0.7037037037037037,0.6097560975609756,0.7169811320754716,0.7407407407407407,0.6714285714285714,0.625,0.5483870967741935
2012-12-31,0.5348837209302325,0.5,0.6,0.7108433734939759,0.7142857142857143,0.6153846153846154,0.654320987654321,0.8,0.25,0.5806451612903226
2012-09-30,0.5909090909090909,0.3870967741935484,0.5932203389830508,0.6794871794871795,0.675,0.7647058823529411,0.654320987654321,0.6428571428571429,0.5,0.5806451612903226
2012-06-30,0.4772727272727273,0.5333333333333333,0.7666666666666667,0.6296296296296297,0.7317073170731707,0.7307692307692307,0.5925925925925926,0.6857142857142857,0.625,0.59375
