,Energy,Materials,Industrials,Consumer Discretionary,Consumer Staples,Health Care,Financials ,Information Technology,Communication Services,Utilities
2018-12-31,0.4827586206896552,0.4,0.15942028985507245,0.171875,0.2727272727272727,0.18032786885245902,0.34328358208955223,0.1044776119402985,0.28,0.3793103448275862
2018-09-30,0.2,0.2608695652173913,0.18840579710144928,0.09230769230769231,0.15625,0.14516129032258066,0.15151515151515152,0.046875,0.12,0.13793103448275862
2018-06-30,0.5161290322580645,0.08333333333333333,0.14492753623188406,0.1518987341772152,0.03125,0.047619047619047616,0.18181818181818182,0.07042253521126761,0.3333333333333333,0.1724137931034483
2018-03-31,0.25806451612903225,0.24,0.15942028985507245,0.20987654320987653,0.17647058823529413,0.09836065573770492,0.10606060606060606,0.014492753623188406,0.3333333333333333,0.32142857142857145
2017-12-31,0.1875,0.04,0.14492753623188406,0.18292682926829268,0.15151515151515152,0.08196721311475409,0.14925373134328357,0.08955223880597014,0.6666666666666666,0.21428571428571427
2017-09-30,0.25,0.16,0.1323529411764706,0.2073170731707317,0.17647058823529413,0.1774193548387097,0.1791044776119403,0.04411764705882353,0.25,0.42857142857142855
2017-06-30,0.35294117647058826,0.28,0.21212121212121213,0.25,0.2222222222222222,0.09836065573770492,0.16666666666666666,0.058823529411764705,0.25,0.17857142857142858
2017-03-31,0.3142857142857143,0.12,0.16176470588235295,0.20481927710843373,0.3783783783783784,0.1,0.13846153846153847,0.04477611940298507,0.5,0.14285714285714285
2016-12-31,0.3055555555555556,0.28,0.27941176470588236,0.19047619047619047,0.32432432432432434,0.13559322033898305,0.14285714285714285,0.04477611940298507,0.6,0.42857142857142855
2016-09-30,0.21621621621621623,0.34615384615384615,0.22388059701492538,0.26506024096385544,0.14285714285714285,0.2542372881355932,0.09375,0.06060606060606061,0.2,0.21428571428571427
2016-06-30,0.2972972972972973,0.34615384615384615,0.17647058823529413,0.21686746987951808,0.19444444444444445,0.07142857142857142,0.33695652173913043,0.04477611940298507,0.0,0.3333333333333333
2016-03-31,0.34210526315789475,0.14814814814814814,0.16923076923076924,0.13253012048192772,0.08108108108108109,0.08620689655172414,0.35555555555555557,0.1791044776119403,0.0,0.41379310344827586
2015-12-31,0.275,0.18518518518518517,0.27692307692307694,0.21428571428571427,0.21052631578947367,0.17857142857142858,0.26744186046511625,0.06060606060606061,0.2,0.3103448275862069
2015-09-30,0.225,0.25,0.19696969696969696,0.25,0.24324324324324326,0.09090909090909091,0.3448275862068966,0.11764705882352941,0.0,0.4482758620689655
2015-06-30,0.3170731707317073,0.32142857142857145,0.21875,0.20238095238095238,0.16666666666666666,0.01818181818181818,0.2727272727272727,0.16666666666666666,0.2,0.4482758620689655
2015-03-31,0.24390243902439024,0.3448275862068966,0.24615384615384617,0.26506024096385544,0.1891891891891892,0.10909090909090909,0.2558139534883721,0.18181818181818182,0.16666666666666666,0.26666666666666666
